Title,Rating,Review
Brilliant,5,Best machine ❤️❤️❤️❤️❤️READ MORE
Classy product,5,An awesome product from Sony. Ergonomics is so user friendly. Fast AF and awesome menu systemTouch interface is great.Image quality is superb 33MP 😍READ MORE
Worth the money,4,"Absolutely in love with this piece of machine! ❤️The only complaint till now is the screen quality. With such a price tag, a better lcd screen is expected from Sony. Doesn't do justice to the footages it can record.0READ MORE"
Must buy!,5,"Best hybrid camera till date , ppl told heating issue,  footage glitch etc many negative romours , after purchase my experience is really good never feld any of the issue till date  i am enjoying it ..Sony rocks as always ..READ MORE"
Does the job,3,Heating issueREAD MORE
Worst experience ever!,5,Heating issueREAD MORE
Terrific purchase,5,Just the best🤌READ MORE
Excellent,5,"Amazing camera! Superb eye tracking!Those who are facing “over heating issues”Check firmware version, if it’s at 1.0 update it!Second option is to go to settings : power saving options : set auto power off temp from standard to high.READ MORE"
